 1,aaa,     14700
 2,abc,      3450
 3,abcpqqr,      1550
 4,abc,      1100
 5,ab,      1100
 6,abc,      1100
 7,a,       600
 8,ABC,       100
 9,anA,        50
10,abc,        50
